,7월 합계,8월 합계,9월 합계,10월 합계,11월 합계,12월 합계
0,2196,2130,1897,1871,1909,2097
1,1050,920,822,811,726,962
2,258,180,120,147,106,150
3,65,42,31,25,42,35
4,30,13,10,7,19,5
5,11,4,4,0,2,0
6,3,1,1,0,4,0
7,1,1,0,0,0,0
8,0,1,0,0,0,1
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,1,0
12,1,0,0,0,1,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
